pair_id,c_type,n_pairs,v_type,V1_class,V1_lemma,NP1,NP2,NP2_anim,V2,ungram_source,alignment,grammatical,ungrammatical,crit_tokens,exclude,exclude_reason
4np_t1_001_A,1,4,A,perception,zien,Jan,Marie,animate,helpen,verb_order,false,Ik weet dat Jan Marie Piet de kinderen zag helpen laten zwemmen.,Ik weet dat Jan Marie Piet de kinderen zwemmen laten helpen zag.,"[""zag"", ""helpen"", ""laten"", ""zwemmen""]",,
4np_t1_001_D1,1,4,D1,perception,zien,Jan,Marie,animate,helpen,verb_order_partial,false,Ik weet dat Jan Marie Piet de kinderen zag helpen laten zwemmen.,Ik weet dat Jan Marie Piet de kinderen zag helpen zwemmen laten.,"[""laten"", ""zwemmen""]",,
4np_t1_001_D2,1,4,D2,perception,zien,Jan,Marie,animate,helpen,verb_order_partial,false,Ik weet dat Jan Marie Piet de kinderen zag helpen laten zwemmen.,Ik weet dat Jan Marie Piet de kinderen zag laten helpen zwemmen.,"[""helpen"", ""laten""]",,
4np_t1_001_D3,1,4,D3,perception,zien,Jan,Marie,animate,helpen,verb_order_partial,false,Ik weet dat Jan Marie Piet de kinderen zag helpen laten zwemmen.,Ik weet dat Jan Marie Piet de kinderen helpen zag laten zwemmen.,"[""zag"", ""helpen""]",,
4np_t1_002_A,1,4,A,perception,horen,de vader,Marie,animate,laten,verb_order,false,Ze begrijpen dat de vader Marie de vrouw de kinderen hoort laten zien dansen.,Ze begrijpen dat de vader Marie de vrouw de kinderen dansen zien laten hoort.,"[""hoort"", ""laten"", ""zien"", ""dansen""]",,
4np_t1_002_D1,1,4,D1,perception,horen,de vader,Marie,animate,laten,verb_order_partial,false,Ze begrijpen dat de vader Marie de vrouw de kinderen hoort laten zien dansen.,Ze begrijpen dat de vader Marie de vrouw de kinderen hoort laten dansen zien.,"[""zien"", ""dansen""]",,
4np_t1_002_D2,1,4,D2,perception,horen,de vader,Marie,animate,laten,verb_order_partial,false,Ze begrijpen dat de vader Marie de vrouw de kinderen hoort laten zien dansen.,Ze begrijpen dat de vader Marie de vrouw de kinderen hoort zien laten dansen.,"[""laten"", ""zien""]",,
4np_t1_002_D3,1,4,D3,perception,horen,de vader,Marie,animate,laten,verb_order_partial,false,Ze begrijpen dat de vader Marie de vrouw de kinderen hoort laten zien dansen.,Ze begrijpen dat de vader Marie de vrouw de kinderen laten hoort zien dansen.,"[""hoort"", ""laten""]",,
4np_t1_003_A,1,4,A,perception,horen,de leraar,Marie,animate,laten,verb_order,false,Ik weet dat de leraar Marie de ouders de man hoort laten zien lachen.,Ik weet dat de leraar Marie de ouders de man lachen zien laten hoort.,"[""hoort"", ""laten"", ""zien"", ""lachen""]",,
4np_t1_003_D1,1,4,D1,perception,horen,de leraar,Marie,animate,laten,verb_order_partial,false,Ik weet dat de leraar Marie de ouders de man hoort laten zien lachen.,Ik weet dat de leraar Marie de ouders de man hoort laten lachen zien.,"[""zien"", ""lachen""]",,
4np_t1_003_D2,1,4,D2,perception,horen,de leraar,Marie,animate,laten,verb_order_partial,false,Ik weet dat de leraar Marie de ouders de man hoort laten zien lachen.,Ik weet dat de leraar Marie de ouders de man hoort zien laten lachen.,"[""laten"", ""zien""]",,
4np_t1_003_D3,1,4,D3,perception,horen,de leraar,Marie,animate,laten,verb_order_partial,false,Ik weet dat de leraar Marie de ouders de man hoort laten zien lachen.,Ik weet dat de leraar Marie de ouders de man laten hoort zien lachen.,"[""hoort"", ""laten""]",,
4np_t1_004_A,1,4,A,perception,zien,de rechter,Piet,animate,laten,verb_order,false,Ik weet dat de rechter Piet de leraren de man ziet laten horen zingen.,Ik weet dat de rechter Piet de leraren de man zingen horen laten ziet.,"[""ziet"", ""laten"", ""horen"", ""zingen""]",,
4np_t1_004_D1,1,4,D1,perception,zien,de rechter,Piet,animate,laten,verb_order_partial,false,Ik weet dat de rechter Piet de leraren de man ziet laten horen zingen.,Ik weet dat de rechter Piet de leraren de man ziet laten zingen horen.,"[""horen"", ""zingen""]",,
4np_t1_004_D2,1,4,D2,perception,zien,de rechter,Piet,animate,laten,verb_order_partial,false,Ik weet dat de rechter Piet de leraren de man ziet laten horen zingen.,Ik weet dat de rechter Piet de leraren de man ziet horen laten zingen.,"[""laten"", ""horen""]",,
4np_t1_004_D3,1,4,D3,perception,zien,de rechter,Piet,animate,laten,verb_order_partial,false,Ik weet dat de rechter Piet de leraren de man ziet laten horen zingen.,Ik weet dat de rechter Piet de leraren de man laten ziet horen zingen.,"[""ziet"", ""laten""]",,
4np_t1_005_A,1,4,A,perception,horen,Marie,de studenten,animate,laten,verb_order,false,Hij verwacht dat Marie de studenten Jan de leraren hoort laten zien rennen.,Hij verwacht dat Marie de studenten Jan de leraren rennen zien laten hoort.,"[""hoort"", ""laten"", ""zien"", ""rennen""]",,
4np_t1_005_D1,1,4,D1,perception,horen,Marie,de studenten,animate,laten,verb_order_partial,false,Hij verwacht dat Marie de studenten Jan de leraren hoort laten zien rennen.,Hij verwacht dat Marie de studenten Jan de leraren hoort laten rennen zien.,"[""zien"", ""rennen""]",,
4np_t1_005_D2,1,4,D2,perception,horen,Marie,de studenten,animate,laten,verb_order_partial,false,Hij verwacht dat Marie de studenten Jan de leraren hoort laten zien rennen.,Hij verwacht dat Marie de studenten Jan de leraren hoort zien laten rennen.,"[""laten"", ""zien""]",,
4np_t1_005_D3,1,4,D3,perception,horen,Marie,de studenten,animate,laten,verb_order_partial,false,Hij verwacht dat Marie de studenten Jan de leraren hoort laten zien rennen.,Hij verwacht dat Marie de studenten Jan de leraren laten hoort zien rennen.,"[""hoort"", ""laten""]",,
4np_t1_006_A,1,4,A,perception,zien,de danser,Piet,animate,laten,verb_order,false,Hij gelooft dat de danser Piet de ouders de man ziet laten horen dansen.,Hij gelooft dat de danser Piet de ouders de man dansen horen laten ziet.,"[""ziet"", ""laten"", ""horen"", ""dansen""]",,
4np_t1_006_D1,1,4,D1,perception,zien,de danser,Piet,animate,laten,verb_order_partial,false,Hij gelooft dat de danser Piet de ouders de man ziet laten horen dansen.,Hij gelooft dat de danser Piet de ouders de man ziet laten dansen horen.,"[""horen"", ""dansen""]",,
4np_t1_006_D2,1,4,D2,perception,zien,de danser,Piet,animate,laten,verb_order_partial,false,Hij gelooft dat de danser Piet de ouders de man ziet laten horen dansen.,Hij gelooft dat de danser Piet de ouders de man ziet horen laten dansen.,"[""laten"", ""horen""]",,
4np_t1_006_D3,1,4,D3,perception,zien,de danser,Piet,animate,laten,verb_order_partial,false,Hij gelooft dat de danser Piet de ouders de man ziet laten horen dansen.,Hij gelooft dat de danser Piet de ouders de man laten ziet horen dansen.,"[""ziet"", ""laten""]",,
4np_t1_007_A,1,4,A,perception,horen,de vrienden,Jan,animate,laten,verb_order,false,Ze weten dat de vrienden Jan de studenten de vrouw horen laten zien zwemmen.,Ze weten dat de vrienden Jan de studenten de vrouw zwemmen zien laten horen.,"[""horen"", ""laten"", ""zien"", ""zwemmen""]",,
