pair_id,c_type,n_pairs,v_type,V1_class,V1_lemma,NP1,NP2,NP2_anim,V2,ungram_source,alignment,grammatical,ungrammatical,crit_tokens,exclude,exclude_reason
2np_t1_001_A,1,2,A,perception,zien,Jan,de kinderen,animate,zwemmen,verb_order,false,Ik weet dat Jan de kinderen zag zwemmen.,Ik weet dat Jan de kinderen zwemmen zag.,"[""zag"", ""zwemmen""]",,
2np_t1_001_B,1,2,B,perception,zien,Jan,de kinderen,animate,zwemmen,agreement_violation,false,Ik weet dat Jan de kinderen zag zwemmen.,Ik weet dat de kinderen Jan zag zwemmen.,"[""zag"", ""zwemmen""]",,
2np_t1_001_C,1,2,C,perception,zien,Jan,de kinderen,animate,zwemmen,agreement_violation,true,Ik weet dat Jan de kinderen zag zwemmen.,Ik weet dat de kinderen Jan zwemmen zag.,"[""zag"", ""zwemmen""]",,
2np_t1_002_A,1,2,A,perception,horen,de danser,Jan,animate,spelen,verb_order,false,Hij weet dat de danser Jan hoort spelen.,Hij weet dat de danser Jan spelen hoort.,"[""hoort"", ""spelen""]",,
2np_t1_003_A,1,2,A,causative,laten,de vrienden,Jan,animate,lopen,verb_order,false,Ik denk dat de vrienden Jan laten lopen.,Ik denk dat de vrienden Jan lopen laten.,"[""laten"", ""lopen""]",,
2np_t1_003_B,1,2,B,causative,laten,de vrienden,Jan,animate,lopen,agreement_violation,false,Ik denk dat de vrienden Jan laten lopen.,Ik denk dat Jan de vrienden laten lopen.,"[""de vrienden"", ""Jan""]",,
2np_t1_003_C,1,2,C,causative,laten,de vrienden,Jan,animate,lopen,agreement_violation,true,Ik denk dat de vrienden Jan laten lopen.,Ik denk dat Jan de vrienden lopen laten.,"[""de vrienden"", ""Jan"", ""laten"", ""lopen""]",,
2np_t1_004_A,1,2,A,perception,zien,de dokter,Jan,animate,zingen,verb_order,false,Ik merk dat de dokter Jan ziet zingen.,Ik merk dat de dokter Jan zingen ziet.,"[""ziet"", ""zingen""]",,
2np_t1_005_A,1,2,A,perception,zien,Jan,de man,animate,springen,verb_order,false,Hij gelooft dat Jan de man ziet springen.,Hij gelooft dat Jan de man springen ziet.,"[""ziet"", ""springen""]",,
2np_t1_006_A,1,2,A,causative,laten,de leraar,Jan,animate,springen,verb_order,false,Hij weet dat de leraar Jan laat springen.,Hij weet dat de leraar Jan springen laat.,"[""laat"", ""springen""]",,
2np_t1_007_A,1,2,A,causative,laten,de leraar,Marie,animate,lachen,verb_order,false,Ik weet dat de leraar Marie laat lachen.,Ik weet dat de leraar Marie lachen laat.,"[""laat"", ""lachen""]",,
2np_t1_008_A,1,2,A,perception,horen,de moeder,Piet,animate,spelen,verb_order,false,Hij verwacht dat de moeder Piet hoort spelen.,Hij verwacht dat de moeder Piet spelen hoort.,"[""hoort"", ""spelen""]",,
2np_t1_009_A,1,2,A,perception,horen,de ouders,Jan,animate,dansen,verb_order,false,Ze weten dat de ouders Jan horen dansen.,Ze weten dat de ouders Jan dansen horen.,"[""horen"", ""dansen""]",,
2np_t1_009_B,1,2,B,perception,horen,de ouders,Jan,animate,dansen,agreement_violation,false,Ze weten dat de ouders Jan horen dansen.,Ze weten dat Jan de ouders horen dansen.,"[""de ouders"", ""Jan""]",,
2np_t1_009_C,1,2,C,perception,horen,de ouders,Jan,animate,dansen,agreement_violation,true,Ze weten dat de ouders Jan horen dansen.,Ze weten dat Jan de ouders dansen horen.,"[""de ouders"", ""Jan"", ""horen"", ""dansen""]",,
2np_t1_010_A,1,2,A,perception,zien,de agent,Marie,animate,lopen,verb_order,false,Hij weet dat de agent Marie ziet lopen.,Hij weet dat de agent Marie lopen ziet.,"[""ziet"", ""lopen""]",,
2np_t1_011_A,1,2,A,perception,zien,de directeur,Marie,animate,dansen,verb_order,false,Hij verwacht dat de directeur Marie ziet dansen.,Hij verwacht dat de directeur Marie dansen ziet.,"[""ziet"", ""dansen""]",,
2np_t1_012_A,1,2,A,perception,zien,de ouders,Marie,animate,springen,verb_order,false,Ze weten dat de ouders Marie zien springen.,Ze weten dat de ouders Marie springen zien.,"[""zien"", ""springen""]",,
2np_t1_012_B,1,2,B,perception,zien,de ouders,Marie,animate,springen,agreement_violation,false,Ze weten dat de ouders Marie zien springen.,Ze weten dat Marie de ouders zien springen.,"[""de ouders"", ""Marie""]",,
2np_t1_012_C,1,2,C,perception,zien,de ouders,Marie,animate,springen,agreement_violation,true,Ze weten dat de ouders Marie zien springen.,Ze weten dat Marie de ouders springen zien.,"[""de ouders"", ""Marie"", ""zien"", ""springen""]",,
2np_t1_013_A,1,2,A,perception,zien,Piet,de bus,inanimate,vertrekken,verb_order,false,Ik denk dat Piet de bus ziet vertrekken.,Ik denk dat Piet de bus vertrekken ziet.,"[""ziet"", ""vertrekken""]",,
2np_t1_013_B,1,2,B,perception,zien,Piet,de bus,inanimate,vertrekken,selectional_restriction,false,Ik denk dat Piet de bus ziet vertrekken.,Ik denk dat de bus Piet ziet vertrekken.,"[""Piet"", ""de bus""]",,
2np_t1_013_C,1,2,C,perception,zien,Piet,de bus,inanimate,vertrekken,selectional_restriction,true,Ik denk dat Piet de bus ziet vertrekken.,Ik denk dat de bus Piet vertrekken ziet.,"[""Piet"", ""de bus"", ""ziet"", ""vertrekken""]",,
2np_t1_014_A,1,2,A,perception,horen,Jan,de bus,inanimate,bewegen,verb_order,false,Ze weten dat Jan de bus hoort bewegen.,Ze weten dat Jan de bus bewegen hoort.,"[""hoort"", ""bewegen""]",,
2np_t1_014_B,1,2,B,perception,horen,Jan,de bus,inanimate,bewegen,selectional_restriction,false,Ze weten dat Jan de bus hoort bewegen.,Ze weten dat de bus Jan hoort bewegen.,"[""Jan"", ""de bus""]",,
2np_t1_014_C,1,2,C,perception,horen,Jan,de bus,inanimate,bewegen,selectional_restriction,true,Ze weten dat Jan de bus hoort bewegen.,Ze weten dat de bus Jan bewegen hoort.,"[""Jan"", ""de bus"", ""hoort"", ""bewegen""]",,
2np_t1_015_A,1,2,A,perception,zien,de vrienden,Jan,animate,dansen,verb_order,false,Ik merk dat de vrienden Jan zien dansen.,Ik merk dat de vrienden Jan dansen zien.,"[""zien"", ""dansen""]",,
2np_t1_015_B,1,2,B,perception,zien,de vrienden,Jan,animate,dansen,agreement_violation,false,Ik merk dat de vrienden Jan zien dansen.,Ik merk dat Jan de vrienden zien dansen.,"[""de vrienden"", ""Jan""]",,
2np_t1_015_C,1,2,C,perception,zien,de vrienden,Jan,animate,dansen,agreement_violation,true,Ik merk dat de vrienden Jan zien dansen.,Ik merk dat Jan de vrienden dansen zien.,"[""de vrienden"", ""Jan"", ""zien"", ""dansen""]",,
2np_t1_016_A,1,2,A,perception,zien,de danser,Jan,animate,spelen,verb_order,false,Ze zegt dat de danser Jan ziet spelen.,Ze zegt dat de danser Jan spelen ziet.,"[""ziet"", ""spelen""]",,
